pagetitle|tv1|tv2|tv3|tv4|tv5|tv6|tv7
"Г12"|"GB-0086",1,"106/73,5-63,5/204,5"|"Ваниль(корпус), Вода зеленая/ваниль(фасад)"|"Гном"|"Кровать"|"Гербор"
"Г8"|"GB-0087",1,"74,5/194/42,5",,"Гном"|"Пенал"|"Гербор"
"Г9"|"GB-0088",1,"151,5/194/42,5",,"Гном"|"Пенал"|"Гербор"
"Г11"|"GB-0089",1,"119/75/63,5"|"Ваниль(корпус), Вода зеленая/ваниль(фасад)"|"Гном"|"Столы"|"Гербор"
"Г1 "|"GB-0090",1,"115,5/53,5/66,5",,"Гном"|"Столы"|"Гербор"
"Г7"|"GB-0091",1,"90/74/92,5",,"Гном"|"Тумба Угловая"|"Гербор"
"Г2"|"GB-0092",1,"85,5/53,5/53,5"|"Ваниль(корпус), Вода зеленая/ваниль(фасад)"|"Гном"|"Тумбы РТВ"|"Гербор"
"Г10"|"GB-0093",1,"113/194/56,5",,"Гном"|"Шкаф"|"Гербор"
"HPOL 12"|"GB-0094",1,"112,5/3,2/24,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Полка"|"Гербор"
"HPOL 17"|"GB-0095",1,"167,5/3,2/24,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Полка"|"Гербор"
"HZO 4/12"|"GB-0096",1,"112,5/41/28"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Полка"|"Гербор"
"HZO 4/17"|"GB-0097",1,"167,5/41/28"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Полка"|"Гербор"
"HZ 1V 4/12"|"GB-0098",1,"112,5/41/31"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Полка"|"Гербор"
"HZ 1V 4/17"|"GB-0099",1,"167,5/41/31"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Полка"|"Гербор"
"HLAW 120/35"|"GB-0100",1,"65/35,5/120"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Стол журнальный"|"Гербор"
"HLAW 120/38"|"GB-0101",1,"65/38,5/120"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Стол журнальный"|"Гербор"
"HSTO 140/180"|"GB-0102",1,"90/77,5/140-180"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Стол обеденный"|"Гербор"
"HBIU 120"|"GB-0103",1,"70/75,5/120"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Стол письменный"|"Гербор"
"HBIU 160"|"GB-0104",1,"70/75,5/160"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Стол письменный"|"Гербор"
"HKOM_3S 7/5"|"GB-0105",1,"46/66/46,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Тумба"|"Гербор"
"HBIU_1D1S"|"GB-0106",1,"70/75,5/120"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Стол письменный"|"Гербор"
"HBIU_2D2S"|"GB-0107",1,"70/75,5/160"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Стол письменный"|"Гербор"
"HLUS 8/12"|"GB-0108",1,"112,5/79/5,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Зеркало"|"Гербор"
"HLUS 8/17"|"GB-0109",1,"167/79/5,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Зеркало"|"Гербор"
"HKOM_1S 3/12"|"GB-0110",1,"113/24,5/57,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Комод"|"Гербор"
"HKOM_2S 5/12"|"GB-0111",1,"113/45/57,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Комод"|"Гербор"
"HKOM_2S 5/17"|"GB-0112",1,"167,5/45/57,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Комод"|"Гербор"
"HKOM_4S  9/12"|"GB-0113",1,"113/86,5/40,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Комод"|"Гербор"
"HKOM_4S 9/17"|"GB-0114",1,"167,5/86,5/40,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Комод"|"Гербор"
"HSU_2D 22/12"|"GB-0115",1,"113/222,5/57,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Шкаф"|"Гербор"
"HSU_3D 22/17"|"GB-0116",1,"167,5/222,5/57,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Шкаф"|"Гербор"
"HKOM_2S 4/6"|"GB-0117",1,"58/41/40,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Тумба"|"Гербор"
"HLOZ 90"|"GB-0118",1,"98,5/37,5-73,5/206,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Кровать"|"Гербор"
"HLOZ 140"|"GB-0119",1,"148,5/37,5-73,5/206,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Кровать"|"Гербор"
"HLOZ 160"|"GB-0120",1,"168,5/37,5-73,5/206,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Кровать"|"Гербор"
"HLOZ 180"|"GB-0121",1,"188,5/37,5-73,5/206,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Кровать"|"Гербор"
"HKOM_4S2FP 9/17"|"GB-0122",1,"167,5/86,5/40,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"комод"|"Гербор"
"HFD_2D 804/520"|"GB-0123",1,,,"Дорс"|"Фасад"|"Гербор"
"HFV_2V 804/520"|"GB-0124",1,,,"Дорс"|"Фасад"|"Гербор"
"HFD 520/520"|"GB-0125",1,,,"Дорс"|"Фасад"|"Гербор"
"HFV 520/520"|"GB-0126",1,,,"Дорс"|"Фасад"|"Гербор"
"HZ_2FP 6/12"|"GB-0127",1,"112,5/58/28"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Шкафчик"|"Гербор"
"HD_2FP 6/12"|"GB-0128",1,"113/58,5/54,5"|"Корпус:дуб милано/венге; Фасад:стекло матовое/дуб милано/венге"|"Дорс"|"Шкафчик"|"Гербор"
