pagetitle|tv1|tv2|tv3|tv4|tv5|tv6|tv7
"Кровать"|"CM-0148",1,"2085/970/1800"|"Корпус: клен; Фасад: яблоня светная"|"Камелия"|"Спальня"|"Світ меблів"
"Комод"|"CM-0149",1,"1090/880/470"|"Корпус: клен; Фасад: яблоня светная"|"Камелия"|"Спальня"|"Світ меблів"
"Тумбочка"|"CM-0150",1,"535/500/440"|"Корпус: клен; Фасад: яблоня светная"|"Камелия"|"Спальня"|"Світ меблів"
"Шкаф "|"CM-0151",1,"1795/2345/605"|"Корпус: клен; Фасад: яблоня светная"|"Камелия"|"Спальня"|"Світ меблів"
"Зеркало"|"CM-0152",1,"885/995/16"|"Корпус: клен; Фасад: яблоня светная"|"Камелия"|"Спальня"|"Світ меблів"
"Кровать"|"CM-0153",1,"2085/970/1800"|"Корпус: яблоня; Фасад: кальвадос"|"Камелия глянцевая"|"Спальня"|"Світ меблів"
"Комод"|"CM-0154",1,"1090/880/470"|"Корпус: яблоня; Фасад: кальвадос"|"Камелия глянцевая"|"Спальня"|"Світ меблів"
"Тумбочка"|"CM-0155",1,"535/500/440"|"Корпус: яблоня; Фасад: кальвадос"|"Камелия глянцевая"|"Спальня"|"Світ меблів"
"Шкаф "|"CM-0156",1,"1795/2345/605"|"Корпус: яблоня; Фасад: кальвадос"|"Камелия глянцевая"|"Спальня"|"Світ меблів"
"Зеркало"|"CM-0157",1,"885/995/16"|"Корпус: яблоня; Фасад: кальвадос"|"Камелия глянцевая"|"Спальня"|"Світ меблів"
"Кровать 1-сп"|"CM-0158",1,"2160/815/1070"|"Каштан"|"Кантри"|"Спальня / Модульная система"|"Світ меблів"
"Кровать 2-сп"|"CM-0159",1,"2160/810/1770"|"Каштан"|"Кантри"|"Спальня / Модульная система"|"Світ меблів"
"Комод-60"|"CM-0160",1,"615/905/455"|"Каштан"|"Кантри"|"Спальня / Модульная система"|"Світ меблів"
"Комод-100"|"CM-0161",1,"1010/905/455"|"Каштан"|"Кантри"|"Спальня / Модульная система"|"Світ меблів"
"Тумба"|"CM-0162",1,"565/525/385"|"Каштан"|"Кантри"|"Спальня / Модульная система"|"Світ меблів"
"Тумба мобильная"|"CM-0163",1,"515/760/680"|"Каштан"|"Кантри"|"Спальня / Модульная система"|"Світ меблів"
"Шкаф 2Д(430)"|"CM-0164",1,"1100/2050/430"|"Каштан"|"Кантри"|"Спальня / Модульная система"|"Світ меблів"
"Шкаф 2Д(650)"|"CM-0165",1,"1100/2050/650"|"Каштан"|"Кантри"|"Спальня / Модульная система"|"Світ меблів"
"Шкаф 4Д"|"CM-0166",1,"2280/2250/655"|"Каштан"|"Кантри"|"Спальня / Модульная система"|"Світ меблів"
"Зеркало"|"CM-0167",1,"1020/1065/110"|"Каштан"|"Кантри"|"Спальня / Модульная система"|"Світ меблів"
"Прихожая"|"CM-0334",1,"1210/2050/435"|"Каштан"|"Кантри"|"Прихожая/ Модульная система"|"Світ меблів"
"Вешалка-300"|"CM-0335",1,"300/1085/30"|"Каштан"|"Кантри"|"Прихожая/ Модульная система"|"Світ меблів"
"Вешалка-500"|"CM-0336",1,"500/1915/30"|"Каштан"|"Кантри"|"Прихожая/ Модульная система"|"Світ меблів"
"Тумба для обуви"|"CM-0337",1,"885/595/385"|"Каштан"|"Кантри"|"Прихожая/ Модульная система"|"Світ меблів"
"Зеркало"|"CM-0338",1,"1020/1065/110"|"Каштан"|"Кантри"|"Прихожая/ Модульная система"|"Світ меблів"
"Шкаф-купе 2Д/2Дз"|"CM-0349",1,"2155/2350/715"|"Каштан"|"Кантри"|"Прихожая/ Модульная система"|"Світ меблів"
"Гостинная"|"CM-0047",1,"3410/2000/540"|"Орех,яблоня"|"Кардинал"|"Гостинная"|"Світ меблів"
"Ниша под ТВ"|"CM-0048",1,"815/550/430"|"Орех, яблоня"|"Кардинал"|"Гостинная"|"Світ меблів"
"Комод"|"CM-0168",1,"1050/905/510"|"Корпус: клен; Фасад: яблоня светная"|"Кармен"|"Спальня"|"Світ меблів"
"Тумбочка левая"|"CM-0169",1,"750/630/435"|"Корпус: клен; Фасад: яблоня светная"|"Кармен"|"Спальня"|"Світ меблів"
"Шкаф "|"CM-0170",1,"2010/2180/540"|"Корпус: клен; Фасад: яблоня светная"|"Кармен"|"Спальня"|"Світ меблів"
"Зеркало"|"CM-0171",1,"1070/1010/40"|"Корпус: клен; Фасад: яблоня светная"|"Кармен"|"Спальня"|"Світ меблів"
"Кровать"|"CM-0172",1,"2100/1120/1965"|"Корпус: клен; Фасад: яблоня светная"|"Кармен"|"Спальня"|"Світ меблів"
"Туалетка"|"CM-0173",1,"1110/805/500"|"Корпус: клен; Фасад: яблоня светная"|"Кармен"|"Спальня"|"Світ меблів"
"Комод"|"CM-0174",1,"1050/905/510"|"Макасар"|"Кармен глянцевая"|"Спальня"|"Світ меблів"
"Тумбочка левая"|"CM-0175",1,"750/630/435"|"Макасар"|"Кармен глянцевая"|"Спальня"|"Світ меблів"
"Тумбочка правая"|"CM-0176",1,"750/630/435"|"Макасар"|"Кармен глянцевая"|"Спальня"|"Світ меблів"
"Шкаф "|"CM-0177",1,"2010/2180/540"|"Макасар"|"Кармен глянцевая"|"Спальня"|"Світ меблів"
"Зеркало"|"CM-0178",1,"1070/1010/40"|"Макасар"|"Кармен глянцевая"|"Спальня"|"Світ меблів"
"Кровать"|"CM-0179",1,"2100/1120/1965"|"Макасар"|"Кармен глянцевая"|"Спальня"|"Світ меблів"
"Туалетка"|"CM-0180",1,"1110/805/500"|"Макасар"|"Кармен глянцевая"|"Спальня"|"Світ меблів"
"Кровать"|"CM-0181",1,"2030/590/1700"|"Ольха/яблоня/орех"|"Ким"|"Спальня"|"Світ меблів"
"Комод"|"CM-0182",1,"730/705/430"|"Ольха/яблоня/орех"|"Ким"|"Спальня"|"Світ меблів"
"Туалетка"|"CM-0183",1,"930/1415/410"|"Ольха/яблоня/орех"|"Ким"|"Спальня"|"Світ меблів"
"Шкаф "|"CM-0184",1,"1700/1990/590"|"Ольха/яблоня/орех"|"Ким"|"Спальня"|"Світ меблів"
"Тумба"|"CM-0185",1,"425/520/405"|"Ольха/яблоня/орех"|"Ким"|"Спальня"|"Світ меблів"
"Тумба 2С/3Д"|"CM-0186",1,"1515/940/385"|"Корпус: т.венге; Фасад: т.венге/макасар/св.венге"|"Клео"|"Спальня/ Модульная система"|"Світ меблів"
"Полка 150/150Ск"|"CM-0187",1,"1515/395/305"|"Корпус: т.венге; Фасад: т.венге/макасар/св.венге"|"Клео"|"Спальня/ Модульная система"|"Світ меблів"
"Комод 60/4"|"CM-0188",1,"616/945/385"|"Корпус: т.венге; Фасад: т.венге/макасар/св.венге"|"Клео"|"Спальня/ Модульная система"|"Світ меблів"
"Полка 106/106Ск"|"CM-0189",1,"1060/395/305"|"Корпус: т.венге; Фасад: т.венге/макасар/св.венге"|"Клео"|"Спальня/ Модульная система"|"Світ меблів"
"Комод 60/5"|"CM-0190",1,"616/1120/385"|"Корпус: т.венге; Фасад: т.венге/макасар/св.венге"|"Клео"|"Спальня/ Модульная система"|"Світ меблів"
"Зеркало"|"CM-0191",1,"882/882/25 или 1062/882/25"|"Корпус: т.венге; Фасад: т.венге/макасар/св.венге"|"Клео"|"Спальня/ Модульная система"|"Світ меблів"
"Буфет"|"CM-0192",1,"1565/1125/385"|"Корпус: т.венге; Фасад: т.венге/макасар/св.венге"|"Клео"|"Спальня/ Модульная система"|"Світ меблів"
"Кровать 2-сп"|"CM-0193",1,"2120/705/1685"|"Корпус: т.венге; Фасад: т.венге/макасар/св.венге"|"Клео"|"Спальня/ Модульная система"|"Світ меблів"
"ТВ Тумба"|"CM-0194",1,"1515/405/570"|"Корпус: т.венге; Фасад: т.венге/макасар/св.венге"|"Клео"|"Спальня/ Модульная система"|"Світ меблів"
"Стол журнальный"|"CM-0195",1,"1100/505/695"|"Корпус: т.венге; Фасад: т.венге/макасар/св.венге"|"Клео"|"Спальня/ Модульная система"|"Світ меблів"
"Тумбочка"|"CM-0196",1,"516/350/385"|"Корпус: т.венге; Фасад: т.венге/макасар/св.венге"|"Клео"|"Спальня/ Модульная система"|"Світ меблів"
"Комод 100"|"CM-0197",1,"1062/945/385"|"Корпус: т.венге; Фасад: т.венге/макасар/св.венге"|"Клео"|"Спальня/ Модульная система"|"Світ меблів"
"Шкаф 3Д "|"CM-0198",1,"1665/2120/620"|"Корпус: т.венге; Фасад: т.венге/макасар/св.венге"|"Клео"|"Спальня/ Модульная система"|"Світ меблів"
"Пенал"|"CM-0199",1,"616/2025/385"|"Корпус: т.венге; Фасад: т.венге/макасар/св.венге"|"Клео"|"Спальня/ Модульная система"|"Світ меблів"
"Детская"|"CM-0268",1,"2260/1970/880"|"Корпус: клен; Фасад: персик/ морская волна"|"Комби морская"|"Детская"|"Світ меблів"
"Детская"|"CM-0269",1,"2260/1970/881"|"Корпус: клен; Фасад: розовая/ фисташка"|"Комби фисташка"|"Детская"|"Світ меблів"
"Гостинная"|"CM-0049",1,"3400/2140/535"|"Ольха/орех "|"Корнет"|"Гостинная"|"Світ меблів"
"Ниша под ТВ"|"CM-0050",1,"900/580/500"|"Ольха/орех"|"Корнет"|"Гостинная"|"Світ меблів"
"Гостинная"|"CM-0051",1,"3340/2105/555"|"Ольха/орех"|"Леон"|"Гостинная"|"Світ меблів"
"Ниша под ТВ"|"CM-0052",1,"900/570/470"|"Ольха/орех"|"Леон"|"Гостинная"|"Світ меблів"
"Гостинная"|"CM-0053",1,"2040/2165/520"|"Ткорпус:темный венге, Фасад: светлый венге/пожа питона"|"Ликата"|"Гостинная"|"Світ меблів"
"Ниша под ТВ"|"CM-0054",1,"1099/988/502"|"Ткорпус:темный венге, Фасад: светлый венге/пожа питона"|"Ликата"|"Гостинная"|"Світ меблів"
"Тумба"|"CM-0200",1,"360/520/310"|"Корпус:яблоня; Фасад: яблоня/яблоня св."|"Лилея"|"Спальня"|"Світ меблів"
"Комод-эконом"|"CM-0201",1,"810/900/520"|"Корпус:яблоня; Фасад: яблоня/яблоня св."|"Лилея"|"Спальня"|"Світ меблів"
"Комод-бюджет"|"CM-0202",1,"1010/900/520"|"Корпус:яблоня; Фасад: яблоня/яблоня св."|"Лилея"|"Спальня"|"Світ меблів"
"Туалетка"|"CM-0203",1,"1160/1320/440"|"Корпус:яблоня; Фасад: яблоня/яблоня св."|"Лилея"|"Спальня"|"Світ меблів"
"Кровать 2-сп"|"CM-0204",1,"2040/930/1830"|"Корпус:яблоня; Фасад: яблоня/яблоня св."|"Лилея"|"Спальня"|"Світ меблів"
"Шкаф 3-д"|"CM-0205",1,"1400/2130/540"|"Корпус:яблоня; Фасад: яблоня/яблоня св."|"Лилея"|"Спальня"|"Світ меблів"
"Шкаф 4-д"|"CM-0206",1,"1700/2130/540"|"Корпус:яблоня; Фасад: яблоня/яблоня св."|"Лилея"|"Спальня"|"Світ меблів"
"Гостинная 4.0м"|"CM-0055",1,"4160/2300/555"|"Корпус:орех; Фасад: лесной орех"|"Лорд"|"Гостинная"|"Світ меблів"
"Гостинная 5.0 м"|"CM-0056",1,"5160/2300/555"|"Корпус:орех; Фасад: лесной орех"|"Лорд"|"Гостинная"|"Світ меблів"
"Ниша под ТВ"|"CM-0057",1,"865/820/455"|"Корпус:орех; Фасад: лесной орех"|"Лорд"|"Гостинная"|"Світ меблів"
"Кровать"|"CM-0207",1,"2025/590/1700"|"Ольха/яблоня/орех"|"Лотос"|"Спальня"|"Світ меблів"
"Тумба"|"CM-0208",1,"400/510/405"|"Ольха/яблоня/орех"|"Лотос"|"Спальня"|"Світ меблів"
"Комод"|"CM-0209",1,"1510/925/460"|"Ольха/яблоня/орех"|"Лотос"|"Спальня"|"Світ меблів"
"Туалетка"|"CM-0210",1,"1300/1500/390"|"Ольха/яблоня/орех"|"Лотос"|"Спальня"|"Світ меблів"
"Шкаф"|"CM-0211",1,"1880/2440/570"|"Ольха/яблоня/орех"|"Лотос"|"Спальня"|"Світ меблів"
"Гостинная"|"CM-0058",1,"3500/1995/460"|"Ольха/яблоня"|"Лючия"|"Гостинная"|"Світ меблів"
"Ниша под ТВ"|"CM-0059",1,"665/730/440"|"Ольха/яблоня"|"Лючия"|"Гостинная"|"Світ меблів"
"Гостинная"|"CM-0060",1,"2580/2170/585"|"Ольха/орех"|"Магеллан"|"Гостинная"|"Світ меблів"
"Шкаф"|"CM-0061",1,"980/2040/600"|"Ольха/орех"|"Магеллан"|"Гостинная"|"Світ меблів"
"Ниша под ТВ"|"CM-0062",1,"895/765/550"|"Ольха/орех"|"Магеллан"|"Гостинная"|"Світ меблів"
"Гостинная"|"CM-0063",1,"3900/2140/570"|"Ольха/яблоня/орех"|"Марс"|"Гостинная"|"Світ меблів"
"Шкаф-купе 1,2(0,4)"|"CM-0350",1,"1200/2400/465(570)"|"Корпус:т.венге; Фасад: т.венге/св.венге"|"Марсель"|"Шкаф-купе"|"Світ меблів"
"Шкаф-купе 1,2(0,6)"|"CM-0351",1,"1200/2400/615(725)"|"Корпус:т.венге; Фасад: т.венге/св.венге"|"Марсель"|"Шкаф-купе"|"Світ меблів"
"Шкаф-купе 1,8(0,4)"|"CM-0352",1,"1780/2400/465(570)"|"Корпус:т.венге; Фасад: т.венге/св.венге"|"Марсель"|"Шкаф-купе"|"Світ меблів"
"Угловое окончание 1,8 (0,6)"|"CM-0353",1,"1780/2400/615(725)"|"Корпус:т.венге; Фасад: т.венге/св.венге"|"Марсель"|"Шкаф-купе"|"Світ меблів"
"Угловое окончание 2,4 (0,6)"|"CM-0354",1,"2370/2400/615(725)"|"Корпус:т.венге; Фасад: т.венге/св.венге"|"Марсель"|"Шкаф-купе"|"Світ меблів"
"Угловое окончание (0,4)"|"CM-0355",1,"450/2400/470(570)"|"Корпус:т.венге; Фасад: т.венге/св.венге"|"Марсель"|"Шкаф-купе"|"Світ меблів"
"Угловое окончание (0,6)"|"CM-0356",1,"450/2400/620(725)"|"Корпус:т.венге; Фасад: т.венге/св.венге"|"Марсель"|"Шкаф-купе"|"Світ меблів"
"Гостинная"|"CM-0064",1,"2805/2205/575"|"Корпус: т.венге; Фасад : т.венге/зебрано"|"Милан"|"Гостинная"|"Світ меблів"
"Ниша под ТВ"|"CM-0065",1,"1200/695/570"|"Корпус: т.венге; Фасад : т.венге/зебрано"|"Милан"|"Гостинная"|"Світ меблів"
"Гостинная"|"CM-0066",1,"3100/2100/610"|"Ольха"|"Мираж"|"Гостинная"|"Світ меблів"
"Ниша под ТВ"|"CM-0067",1,"950/775/325"|"Ольха"|"Мираж"|"Гостинная"|"Світ меблів"
"Шкаф-купе 2д "|"CM-0357",1,"2000/2300/630"|"Корпус: старый дуб/клен/т.венге; Фасад: макасар/зебрано/ромашка/роза/Груша"|"Монтере 2Д"|"Шкаф-купе"|"Світ меблів"
"Шкаф-купе 3д"|"CM-0358",1,"2400/2300/630"|"Корпус:т.венге; Фасад: груша/зебрано"|"Монтере 3Д"|"Шкаф-купе"|"Світ меблів"
"Витрина ТВ "|"CM-0068",1,"900/2350/355(520)"|"Ольха/орех"|"Моррис"|"Гостинная"|"Світ меблів"
"Витрина высокая"|"CM-0069",1,"600/2350/355"|"Ольха/орех"|"Моррис"|"Гостинная"|"Світ меблів"
"Пенал угловой"|"CM-0070",1,"355/2350/355"|"Ольха/орех"|"Моррис"|"Гостинная"|"Світ меблів"
"Комод-90"|"CM-0071",1,"900/740/520"|"Ольха/орех"|"Моррис"|"Гостинная"|"Світ меблів"
"Шкаф"|"CM-0072",1,"900/2350/520"|"Ольха/орех"|"Моррис"|"Гостинная"|"Світ меблів"
"Шкаф бельевой"|"CM-0073",1,"900/2350/355(520)"|"Ольха/орех"|"Моррис"|"Гостинная"|"Світ меблів"
"ТВ"|"CM-0074",1,"900/2350/355(520)"|"Ольха/орех"|"Моррис"|"Гостинная"|"Світ меблів"
"Ниша под ТВ"|"CM-0075",1,"820/775/500"|"Ольха/орех"|"Моррис"|"Гостинная"|"Світ меблів"
"Витрина"|"CM-0076",1,"600/2350/355(520)"|"Ольха/орех"|"Моррис"|"Гостинная"|"Світ меблів"
"Пенал с укосом"|"CM-0077",1,"500/2350/355(520)"|"Ольха/орех"|"Моррис"|"Гостинная"|"Світ меблів"
"Комод-60"|"CM-0078",1,"600/740/520"|"Ольха/орех"|"Моррис"|"Гостинная"|"Світ меблів"
"Шкаф угловой"|"CM-0079",1,"900/2350/355"|"Ольха/орех"|"Моррис"|"Гостинная"|"Світ меблів"
"Пенал"|"CM-0080",1,"600/2350/355"|"Ольха/орех"|"Моррис"|"Гостинная"|"Світ меблів"
"Бар"|"CM-0081",1,"900/2350/355(520)"|"Ольха/орех"|"Моррис"|"Гостинная"|"Світ меблів"
"Гостинная"|"CM-0082",1,"2620/2250/510"|"Корпус: яблоня; Фасад:яблоня светлая"|"Неаполь"|"Гостинная"|"Світ меблів"
"Ниша под ТВ"|"CM-0083",1,"1200/1000/500"|"Корпус: яблоня; Фасад:яблоня светлая"|"Неаполь"|"Гостинная"|"Світ меблів"
"Кровать"|"CM-0212",1,"2085/670/1670"|"Корпус: т.венге; Фасад: зебрано/дуб цинамон"|"Ника"|"Спальня"|"Світ меблів"
"Тумба"|"CM-0213",1,"430/405/400"|"Корпус: т.венге; Фасад: зебрано/дуб цинамон"|"Ника"|"Спальня"|"Світ меблів"
"Комод"|"CM-0214",1,"780/735/400"|"Корпус: т.венге; Фасад: зебрано/дуб цинамон"|"Ника"|"Спальня"|"Світ меблів"
"Зеркало"|"CM-0215",1,"780/870/20"|"Корпус: т.венге; Фасад: зебрано/дуб цинамон"|"Ника"|"Спальня"|"Світ меблів"
"Шкаф"|"CM-0216",1,"1550/2025/600"|"Корпус: т.венге; Фасад: зебрано/дуб цинамон"|"Ника"|"Спальня"|"Світ меблів"
"Гостинная"|"CM-0084",1,"3600/2080/520"|"Ольха/яблоня/орех"|"Оскар"|"Гостинная"|"Світ меблів"
"Ниша под ТВ"|"CM-0085",1,"865/665/410"|"Ольха/яблоня/орех"|"Оскар"|"Гостинная"|"Світ меблів"
"Витрина"|"CM-0217",1,"620/1980/415"|"Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано"|"Палермо"|"Спальня/ Модульная система"|"Світ меблів"
"Витрина угловая"|"CM-0218",1,"620/1980/370-520"|"Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано"|"Палермо"|"Спальня/ Модульная система"|"Світ меблів"
"Витрина открытая"|"CM-0219",1,"620/1980/415"|"Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано"|"Палермо"|"Спальня/ Модульная система"|"Світ меблів"
"Буфет "|"CM-0220",1,"1610/900/415"|"Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано"|"Палермо"|"Спальня/ Модульная система"|"Світ меблів"
"Комод"|"CM-0221",1,"1000/900/415"|"Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано"|"Палермо"|"Спальня/ Модульная система"|"Світ меблів"
"Пенал"|"CM-0222",1,"620/1980/415"|"Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано"|"Палермо"|"Спальня/ Модульная система"|"Світ меблів"
"Полка 100"|"CM-0223",1,"1000/530/345"|"Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано"|"Палермо"|"Спальня/ Модульная система"|"Світ меблів"
"Шкаф 2Д"|"CM-0224",1,"1000/1980/630"|"Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано"|"Палермо"|"Спальня/ Модульная система"|"Світ меблів"
"Шкаф 3Д"|"CM-0225",1,"1610/2070/630"|"Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано"|"Палермо"|"Спальня/ Модульная система"|"Світ меблів"
"Кровать 1сп(2сп)"|"CM-0226",1,"2160/950/1030(1710)"|"Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано"|"Палермо"|"Спальня/ Модульная система"|"Світ меблів"
"ТВ"|"CM-0227",1,"1610/540/605"|"Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано"|"Палермо"|"Спальня/ Модульная система"|"Світ меблів"
"Тумба 100"|"CM-0228",1,"1000/2010/415"|"Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано"|"Палермо"|"Спальня/ Модульная система"|"Світ меблів"
"Тумба мобильная"|"CM-0229",1,"445/635/345"|"Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано"|"Палермо"|"Спальня/ Модульная система"|"Світ меблів"
"Тумбочка"|"CM-0230",1,"530/540/415"|"Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано"|"Палермо"|"Спальня/ Модульная система"|"Світ меблів"
"Зеркало"|"CM-0231",1,"1000/800/95"|"Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано"|"Палермо"|"Спальня/ Модульная система"|"Світ меблів"
"Полка 160"|"CM-0232",1,"1610/530/345"|"Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано"|"Палермо"|"Спальня/ Модульная система"|"Світ меблів"
"Стол журнальный 70(120)"|"CM-0233",1,"700(1200)/505/700"|"Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано"|"Палермо"|"Спальня/ Модульная система"|"Світ меблів"
"Стол  "|"CM-0234",1,"1400/765/800"|"Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано"|"Палермо"|"Спальня/ Модульная система"|"Світ меблів"
"Гостинная"|"CM-0086",1,"3100/2100/485"|"Корпус:темный венге; фасад: красная печать/бежевая печать"|"Ринго"|"Гостинная"|"Світ меблів"
"Детская"|"CM-0273",1,"3000/2100/515"|"Корпус: ольха/орех;Фасад:ольха/лесной орех"|"Румба"|"Детская"|"Світ меблів"
"Кровать-горка"|"CM-0274",1,"1950/1805/860"|"Корпус: клен; Фасад: оранж/ваниль"|"Савана оранж"|"Детская"|"Світ меблів"
"Кровать"|"CM-0275",1,"1950/480/850"|"Корпус: клен; Фасад: оранж/ваниль"|"Савана оранж"|"Детская"|"Світ меблів"
"Пенал"|"CM-0276",1,"400/1800/525"|"Корпус: клен; Фасад: оранж/ваниль"|"Савана оранж"|"Детская"|"Світ меблів"
"Шкаф"|"CM-0277",1,"800/1800/525"|"Корпус: клен; Фасад: оранж/ваниль"|"Савана оранж"|"Детская"|"Світ меблів"
"Комод"|"CM-0278",1,"705/755/385"|"Корпус: клен; Фасад: оранж/ваниль"|"Савана оранж"|"Детская"|"Світ меблів"
"Тумба"|"CM-0279",1,"355/720/430"|"Корпус: клен; Фасад: оранж/ваниль"|"Савана оранж"|"Детская"|"Світ меблів"
"Стол письменный"|"CM-0280",1,"1100/755/705"|"Корпус: клен; Фасад: оранж/ваниль"|"Савана оранж"|"Детская"|"Світ меблів"
"Надстройка"|"CM-0281",1,"1090/630/270"|"Корпус: клен; Фасад: оранж/ваниль"|"Савана оранж"|"Детская"|"Світ меблів"
"Лестница"|"CM-0282",1,"490/1320/1100"|"Корпус: клен; Фасад: оранж/ваниль"|"Савана оранж"|"Детская"|"Світ меблів"
"Кровать-горка"|"CM-0283",1,"1950/1805/860"|"Корпус: клен; Фасад: фисташка/ваниль"|"Савана фисташка"|"Детская"|"Світ меблів"
"Кровать"|"CM-0284",1,"1950/480/850"|"Корпус: клен; Фасад: фисташка/ваниль"|"Савана фисташка"|"Детская"|"Світ меблів"
"Пенал"|"CM-0285",1,"400/1800/525"|"Корпус: клен; Фасад: фисташка/ваниль"|"Савана фисташка"|"Детская"|"Світ меблів"
"Шкаф"|"CM-0286",1,"800/1800/525"|"Корпус: клен; Фасад: фисташка/ваниль"|"Савана фисташка"|"Детская"|"Світ меблів"
"Комод"|"CM-0287",1,"705/755/385"|"Корпус: клен; Фасад: фисташка/ваниль"|"Савана фисташка"|"Детская"|"Світ меблів"
"Тумба"|"CM-0288",1,"355/720/430"|"Корпус: клен; Фасад: фисташка/ваниль"|"Савана фисташка"|"Детская"|"Світ меблів"
"Стол письменный"|"CM-0289",1,"1100/755/705"|"Корпус: клен; Фасад: фисташка/ваниль"|"Савана фисташка"|"Детская"|"Світ меблів"
"Надстройка"|"CM-0290",1,"1090/630/270"|"Корпус: клен; Фасад: фисташка/ваниль"|"Савана фисташка"|"Детская"|"Світ меблів"
"Лестница"|"CM-0291",1,"490/1320/1100"|"Корпус: клен; Фасад: фисташка/ваниль"|"Савана фисташка"|"Детская"|"Світ меблів"
"Пенал Ск"|"CM-0087",1,"552/2100/460"|"Корпус:св.венге; Фасад: т.венге/св.венге"|"Сакура с пеналом"|"Гостинная"|"Світ меблів"
"Шкаф 2Д Ш Ск"|"CM-0088",1,"1000/2100/460"|"Корпус:св.венге; Фасад: т.венге/св.венге"|"Сакура с пеналом"|"Гостинная"|"Світ меблів"
"Шкаф 2Д Ск"|"CM-0089",1,"1000/2100/460"|"Корпус:св.венге; Фасад: т.венге/св.венге"|"Сакура с пеналом"|"Гостинная"|"Світ меблів"
"Шкаф 3Д Ш"|"CM-0090",1,"1200/2100/460"|"Корпус:св.венге; Фасад: т.венге/св.венге"|"Сакура с пеналом"|"Гостинная"|"Світ меблів"
"Тумба ТВ"|"CM-0091",1,"1200/1940/485"|"Корпус:св.венге; Фасад: т.венге/св.венге"|"Сакура с пеналом"|"Гостинная"|"Світ меблів"
"Ниша под ТВ"|"CM-0092",1,"1200/864/325"|"Корпус:св.венге; Фасад: т.венге/св.венге"|"Сакура с пеналом"|"Гостинная"|"Світ меблів"
"Пенал Ск"|"CM-0093",1,"552/2100/460"|"Корпус:св.венге; Фасад: т.венге/св.венге"|"Сакура со шкафом"|"Гостинная"|"Світ меблів"
"Шкаф 2Д Ш Ск"|"CM-0094",1,"1000/2100/460"|"Корпус:св.венге; Фасад: т.венге/св.венге"|"Сакура со шкафом"|"Гостинная"|"Світ меблів"
"Шкаф 2Д Ск"|"CM-0095",1,"1000/2100/460"|"Корпус:св.венге; Фасад: т.венге/св.венге"|"Сакура со шкафом"|"Гостинная"|"Світ меблів"
"Шкаф 3Д Ш"|"CM-0096",1,"1200/2100/460"|"Корпус:св.венге; Фасад: т.венге/св.венге"|"Сакура со шкафом"|"Гостинная"|"Світ меблів"
"Тумба ТВ"|"CM-0097",1,"1200/1940/485"|"Корпус:св.венге; Фасад: т.венге/св.венге"|"Сакура со шкафом"|"Гостинная"|"Світ меблів"
"Ниша под ТВ"|"CM-0098",1,"1200/864/325"|"Корпус:св.венге; Фасад: т.венге/св.венге"|"Сакура со шкафом"|"Гостинная"|"Світ меблів"
"Надстройка"|"CM-0235",1,"2080/1710/415, 1600/1710/415"|"Клен"|"Селина"|"Спальня/ Модульная система"|"Світ меблів"
"Зеркало"|"CM-0236",1,"620/860/20"|"Клен"|"Селина"|"Спальня/ Модульная система"|"Світ меблів"
"Туалетка"|"CM-0237",1,"1260/850/350"|"Клен"|"Селина"|"Спальня/ Модульная система"|"Світ меблів"
"Туалетный стол"|"CM-0238",1,"1285/770/530"|"Клен"|"Селина"|"Спальня/ Модульная система"|"Світ меблів"
"Кровать 1-сп Ш"|"CM-0239",1,"970/940/2095"|"Клен"|"Селина"|"Спальня/ Модульная система"|"Світ меблів"
"Кровать 1-сп"|"CM-0240",1,"975/770/2110"|"Клен"|"Селина"|"Спальня/ Модульная система"|"Світ меблів"
"Кровать 2-сп"|"CM-0241",1,"1675/810/2110"|"Клен"|"Селина"|"Спальня/ Модульная система"|"Світ меблів"
"Витрина"|"CM-0242",1,"1100/2090/510"|"Клен"|"Селина"|"Спальня/ Модульная система"|"Світ меблів"
"Стул"|"CM-0243",1,"410/395/410"|"Клен"|"Селина"|"Спальня/ Модульная система"|"Світ меблів"
"Стол письменный"|"CM-0244",1,"1310/740/575"|"Клен"|"Селина"|"Спальня/ Модульная система"|"Світ меблів"
