parent|id|pagetitle|tv1|tv2|tv3|tv4|tv5|tv6|tv7|tv8
0079|Стол журнальный|GB-0079|1|110/53,5/60|яблоня темная/орех аоста темный|Виктор|Стол журнальный|Гербор
0080|Виктория|GB-0080|1|413/213/54,5|яблоня локарно|Виктория|Гостинная|Гербор
0081|Герда|GB-0081|1|335/217/50,5-30|Ольха/ орех экко|Герда|Гостинная|Гербор
0082|Г3|GB-0082|1|93/74/42,5|Ваниль(корпус), Вода зеленая/ваниль(фасад)|Гном|комод|Гербор
0083|Г4|GB-0083|1|108/74/42,5|Ваниль(корпус), Вода зеленая/ваниль(фасад)|Гном|комод|Гербор
0084|Г5|GB-0084|1|113/74/42,5|Ваниль(корпус), Вода зеленая/ваниль(фасад)|Гном|комод|Гербор
0085|Г6|GB-0085|1|146/74/42,5|Ваниль(корпус), Вода зеленая/ваниль(фасад)|Гном|комод|Гербор
0086|Г12|GB-0086|1|106/73,5-63,5/204,5|Ваниль(корпус), Вода зеленая/ваниль(фасад)|Гном|Кровать|Гербор
0087|Г8|GB-0087|1|74,5/194/42,5||Гном|Пенал|Гербор
0088|Г9|GB-0088|1|151,5/194/42,5||Гном|Пенал|Гербор
0089|Г11|GB-0089|1|119/75/63,5|Ваниль(корпус), Вода зеленая/ваниль(фасад)|Гном|Столы|Гербор
0090|Г1 |GB-0090|1|115,5/53,5/66,5||Гном|Столы|Гербор
0091|Г7|GB-0091|1|90/74/92,5||Гном|Тумба Угловая|Гербор
0092|Г2|GB-0092|1|85,5/53,5/53,5|Ваниль(корпус), Вода зеленая/ваниль(фасад)|Гном|Тумбы РТВ|Гербор
0093|Г10|GB-0093|1|113/194/56,5||Гном|Шкаф|Гербор
0094|HPOL 12|GB-0094|1|112,5/3,2/24,5|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Полка|Гербор
0095|HPOL 17|GB-0095|1|167,5/3,2/24,5|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Полка|Гербор
0096|HZO 4/12|GB-0096|1|112,5/41/28|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Полка|Гербор
0097|HZO 4/17|GB-0097|1|167,5/41/28|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Полка|Гербор
0098|HZ 1V 4/12|GB-0098|1|112,5/41/31|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Полка|Гербор
0099|HZ 1V 4/17|GB-0099|1|167,5/41/31|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Полка|Гербор
0100|HLAW 120/35|GB-0100|1|65/35,5/120|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Стол журнальный|Гербор
0101|HLAW 120/38|GB-0101|1|65/38,5/120|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Стол журнальный|Гербор
0102|HSTO 140/180|GB-0102|1|90/77,5/140-180|Корпус:дуб милано/венге, Фасад:стекло матовое/дуб милано/венге|Дорс|Стол обеденный|Гербор
