parent|id|pagetitle|tv1|tv2|tv3|tv4|tv5|tv6|tv7|tv8
0873|Туалетка|CM-0203|1|1160/1320/440|Корпус:яблоня; Фасад: яблоня/яблоня св.|Лилея|Спальня|Світ меблів
0874|Кровать 2-сп|CM-0204|1|2040/930/1830|Корпус:яблоня; Фасад: яблоня/яблоня св.|Лилея|Спальня|Світ меблів
0875|Шкаф 3-д|CM-0205|1|1400/2130/540|Корпус:яблоня; Фасад: яблоня/яблоня св.|Лилея|Спальня|Світ меблів
0876|Шкаф 4-д|CM-0206|1|1700/2130/540|Корпус:яблоня; Фасад: яблоня/яблоня св.|Лилея|Спальня|Світ меблів
0877|Гостинная 4.0м|CM-0055|1|4160/2300/555|Корпус:орех; Фасад: лесной орех|Лорд|Гостинная|Світ меблів
0878|Гостинная 5.0 м|CM-0056|1|5160/2300/555|Корпус:орех; Фасад: лесной орех|Лорд|Гостинная|Світ меблів
0879|Ниша под ТВ|CM-0057|1|865/820/455|Корпус:орех; Фасад: лесной орех|Лорд|Гостинная|Світ меблів
0880|Кровать|CM-0207|1|2025/590/1700|Ольха/яблоня/орех|Лотос|Спальня|Світ меблів
0881|Тумба|CM-0208|1|400/510/405|Ольха/яблоня/орех|Лотос|Спальня|Світ меблів
0882|Комод|CM-0209|1|1510/925/460|Ольха/яблоня/орех|Лотос|Спальня|Світ меблів
0883|Туалетка|CM-0210|1|1300/1500/390|Ольха/яблоня/орех|Лотос|Спальня|Світ меблів
0884|Шкаф|CM-0211|1|1880/2440/570|Ольха/яблоня/орех|Лотос|Спальня|Світ меблів
0885|Гостинная|CM-0058|1|3500/1995/460|Ольха/яблоня|Лючия|Гостинная|Світ меблів
0886|Ниша под ТВ|CM-0059|1|665/730/440|Ольха/яблоня|Лючия|Гостинная|Світ меблів
0887|Гостинная|CM-0060|1|2580/2170/585|Ольха/орех|Магеллан|Гостинная|Світ меблів
0888|Шкаф|CM-0061|1|980/2040/600|Ольха/орех|Магеллан|Гостинная|Світ меблів
0889|Ниша под ТВ|CM-0062|1|895/765/550|Ольха/орех|Магеллан|Гостинная|Світ меблів
0890|Гостинная|CM-0063|1|3900/2140/570|Ольха/яблоня/орех|Марс|Гостинная|Світ меблів
0891|Шкаф-купе 1,2(0,4)|CM-0350|1|1200/2400/465(570)|Корпус:т.венге; Фасад: т.венге/св.венге|Марсель|Шкаф-купе|Світ меблів
0892|Шкаф-купе 1,2(0,6)|CM-0351|1|1200/2400/615(725)|Корпус:т.венге; Фасад: т.венге/св.венге|Марсель|Шкаф-купе|Світ меблів
0893|Шкаф-купе 1,8(0,4)|CM-0352|1|1780/2400/465(570)|Корпус:т.венге; Фасад: т.венге/св.венге|Марсель|Шкаф-купе|Світ меблів
0894|Угловое окончание 1,8 (0,6)|CM-0353|1|1780/2400/615(725)|Корпус:т.венге; Фасад: т.венге/св.венге|Марсель|Шкаф-купе|Світ меблів
0895|Угловое окончание 2,4 (0,6)|CM-0354|1|2370/2400/615(725)|Корпус:т.венге; Фасад: т.венге/св.венге|Марсель|Шкаф-купе|Світ меблів
0896|Угловое окончание (0,4)|CM-0355|1|450/2400/470(570)|Корпус:т.венге; Фасад: т.венге/св.венге|Марсель|Шкаф-купе|Світ меблів
0897|Угловое окончание (0,6)|CM-0356|1|450/2400/620(725)|Корпус:т.венге; Фасад: т.венге/св.венге|Марсель|Шкаф-купе|Світ меблів
0898|Гостинная|CM-0064|1|2805/2205/575|Корпус: т.венге; Фасад : т.венге/зебрано|Милан|Гостинная|Світ меблів
0899|Ниша под ТВ|CM-0065|1|1200/695/570|Корпус: т.венге; Фасад : т.венге/зебрано|Милан|Гостинная|Світ меблів
0900|Гостинная|CM-0066|1|3100/2100/610|Ольха|Мираж|Гостинная|Світ меблів
0901|Ниша под ТВ|CM-0067|1|950/775/325|Ольха|Мираж|Гостинная|Світ меблів
0902|Шкаф-купе 2д |CM-0357|1|2000/2300/630|Корпус: старый дуб/клен/т.венге; Фасад: макасар/зебрано/ромашка/роза/Груша|Монтере 2Д|Шкаф-купе|Світ меблів
0903|Шкаф-купе 3д|CM-0358|1|2400/2300/630|Корпус:т.венге; Фасад: груша/зебрано|Монтере 3Д|Шкаф-купе|Світ меблів
0904|Витрина ТВ |CM-0068|1|900/2350/355(520)|Ольха/орех|Моррис|Гостинная|Світ меблів
0905|Витрина высокая|CM-0069|1|600/2350/355|Ольха/орех|Моррис|Гостинная|Світ меблів
0906|Пенал угловой|CM-0070|1|355/2350/355|Ольха/орех|Моррис|Гостинная|Світ меблів
0907|Комод-90|CM-0071|1|900/740/520|Ольха/орех|Моррис|Гостинная|Світ меблів
0908|Шкаф|CM-0072|1|900/2350/520|Ольха/орех|Моррис|Гостинная|Світ меблів
0909|Шкаф бельевой|CM-0073|1|900/2350/355(520)|Ольха/орех|Моррис|Гостинная|Світ меблів
0910|ТВ|CM-0074|1|900/2350/355(520)|Ольха/орех|Моррис|Гостинная|Світ меблів
0911|Ниша под ТВ|CM-0075|1|820/775/500|Ольха/орех|Моррис|Гостинная|Світ меблів
0912|Витрина|CM-0076|1|600/2350/355(520)|Ольха/орех|Моррис|Гостинная|Світ меблів
0913|Пенал с укосом|CM-0077|1|500/2350/355(520)|Ольха/орех|Моррис|Гостинная|Світ меблів
0914|Комод-60|CM-0078|1|600/740/520|Ольха/орех|Моррис|Гостинная|Світ меблів
0915|Шкаф угловой|CM-0079|1|900/2350/355|Ольха/орех|Моррис|Гостинная|Світ меблів
0916|Пенал|CM-0080|1|600/2350/355|Ольха/орех|Моррис|Гостинная|Світ меблів
0917|Бар|CM-0081|1|900/2350/355(520)|Ольха/орех|Моррис|Гостинная|Світ меблів
0918|Гостинная|CM-0082|1|2620/2250/510|Корпус: яблоня; Фасад:яблоня светлая|Неаполь|Гостинная|Світ меблів
0919|Ниша под ТВ|CM-0083|1|1200/1000/500|Корпус: яблоня; Фасад:яблоня светлая|Неаполь|Гостинная|Світ меблів
0920|Кровать|CM-0212|1|2085/670/1670|Корпус: т.венге; Фасад: зебрано/дуб цинамон|Ника|Спальня|Світ меблів
0921|Тумба|CM-0213|1|430/405/400|Корпус: т.венге; Фасад: зебрано/дуб цинамон|Ника|Спальня|Світ меблів
0922|Комод|CM-0214|1|780/735/400|Корпус: т.венге; Фасад: зебрано/дуб цинамон|Ника|Спальня|Світ меблів
0923|Зеркало|CM-0215|1|780/870/20|Корпус: т.венге; Фасад: зебрано/дуб цинамон|Ника|Спальня|Світ меблів
0924|Шкаф|CM-0216|1|1550/2025/600|Корпус: т.венге; Фасад: зебрано/дуб цинамон|Ника|Спальня|Світ меблів
0925|Гостинная|CM-0084|1|3600/2080/520|Ольха/яблоня/орех|Оскар|Гостинная|Світ меблів
0926|Ниша под ТВ|CM-0085|1|865/665/410|Ольха/яблоня/орех|Оскар|Гостинная|Світ меблів
0927|Витрина|CM-0217|1|620/1980/415|Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано|Палермо|Спальня/ Модульная система|Світ меблів
0928|Витрина угловая|CM-0218|1|620/1980/370-520|Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано|Палермо|Спальня/ Модульная система|Світ меблів
0929|Витрина открытая|CM-0219|1|620/1980/415|Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано|Палермо|Спальня/ Модульная система|Світ меблів
0930|Буфет |CM-0220|1|1610/900/415|Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано|Палермо|Спальня/ Модульная система|Світ меблів
0931|Комод|CM-0221|1|1000/900/415|Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано|Палермо|Спальня/ Модульная система|Світ меблів
0932|Пенал|CM-0222|1|620/1980/415|Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано|Палермо|Спальня/ Модульная система|Світ меблів
0933|Полка 100|CM-0223|1|1000/530/345|Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано|Палермо|Спальня/ Модульная система|Світ меблів
0934|Шкаф 2Д|CM-0224|1|1000/1980/630|Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано|Палермо|Спальня/ Модульная система|Світ меблів
0935|Шкаф 3Д|CM-0225|1|1610/2070/630|Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано|Палермо|Спальня/ Модульная система|Світ меблів
0936|Кровать 1сп(2сп)|CM-0226|1|2160/950/1030(1710)|Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано|Палермо|Спальня/ Модульная система|Світ меблів
0937|ТВ|CM-0227|1|1610/540/605|Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано|Палермо|Спальня/ Модульная система|Світ меблів
0938|Тумба 100|CM-0228|1|1000/2010/415|Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано|Палермо|Спальня/ Модульная система|Світ меблів
0939|Тумба мобильная|CM-0229|1|445/635/345|Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано|Палермо|Спальня/ Модульная система|Світ меблів
0940|Тумбочка|CM-0230|1|530/540/415|Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано|Палермо|Спальня/ Модульная система|Світ меблів
0941|Зеркало|CM-0231|1|1000/800/95|Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано|Палермо|Спальня/ Модульная система|Світ меблів
0942|Полка 160|CM-0232|1|1610/530/345|Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано|Палермо|Спальня/ Модульная система|Світ меблів
0943|Стол журнальный 70(120)|CM-0233|1|700(1200)/505/700|Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано|Палермо|Спальня/ Модульная система|Світ меблів
0944|Стол |CM-0234|1|1400/765/800|Корпус:дуб борас; Фасад: дуб борас/кожа питона/зебрано|Палермо|Спальня/ Модульная система|Світ меблів
0945|Гостинная|CM-0086|1|3100/2100/485|Корпус:темный венге; фасад: красная печать/бежевая печать|Ринго|Гостинная|Світ меблів
0946|Детская|CM-0273|1|3000/2100/515|Корпус: ольха/орех;Фасад:ольха/лесной орех|Румба|Детская|Світ меблів
0947|Кровать-горка|CM-0274|1|1950/1805/860|Корпус: клен; Фасад: оранж/ваниль|Савана оранж|Детская|Світ меблів
0948|Кровать|CM-0275|1|1950/480/850|Корпус: клен; Фасад: оранж/ваниль|Савана оранж|Детская|Світ меблів
0949|Пенал|CM-0276|1|400/1800/525|Корпус: клен; Фасад: оранж/ваниль|Савана оранж|Детская|Світ меблів
0950|Шкаф|CM-0277|1|800/1800/525|Корпус: клен; Фасад: оранж/ваниль|Савана оранж|Детская|Світ меблів
0951|Комод|CM-0278|1|705/755/385|Корпус: клен; Фасад: оранж/ваниль|Савана оранж|Детская|Світ меблів
0952|Тумба|CM-0279|1|355/720/430|Корпус: клен; Фасад: оранж/ваниль|Савана оранж|Детская|Світ меблів
0953|Стол письменный|CM-0280|1|1100/755/705|Корпус: клен; Фасад: оранж/ваниль|Савана оранж|Детская|Світ меблів
0954|Надстройка|CM-0281|1|1090/630/270|Корпус: клен; Фасад: оранж/ваниль|Савана оранж|Детская|Світ меблів
0955|Лестница|CM-0282|1|490/1320/1100|Корпус: клен; Фасад: оранж/ваниль|Савана оранж|Детская|Світ меблів
0956|Кровать-горка|CM-0283|1|1950/1805/860|Корпус: клен; Фасад: фисташка/ваниль|Савана фисташка|Детская|Світ меблів
0957|Кровать|CM-0284|1|1950/480/850|Корпус: клен; Фасад: фисташка/ваниль|Савана фисташка|Детская|Світ меблів
0958|Пенал|CM-0285|1|400/1800/525|Корпус: клен; Фасад: фисташка/ваниль|Савана фисташка|Детская|Світ меблів
0959|Шкаф|CM-0286|1|800/1800/525|Корпус: клен; Фасад: фисташка/ваниль|Савана фисташка|Детская|Світ меблів
0960|Комод|CM-0287|1|705/755/385|Корпус: клен; Фасад: фисташка/ваниль|Савана фисташка|Детская|Світ меблів
0961|Тумба|CM-0288|1|355/720/430|Корпус: клен; Фасад: фисташка/ваниль|Савана фисташка|Детская|Світ меблів
0962|Стол письменный|CM-0289|1|1100/755/705|Корпус: клен; Фасад: фисташка/ваниль|Савана фисташка|Детская|Світ меблів
0963|Надстройка|CM-0290|1|1090/630/270|Корпус: клен; Фасад: фисташка/ваниль|Савана фисташка|Детская|Світ меблів
0964|Лестница|CM-0291|1|490/1320/1100|Корпус: клен; Фасад: фисташка/ваниль|Савана фисташка|Детская|Світ меблів
0965|Пенал Ск|CM-0087|1|552/2100/460|Корпус:св.венге; Фасад: т.венге/св.венге|Сакура с пеналом|Гостинная|Світ меблів
0966|Шкаф 2Д Ш Ск|CM-0088|1|1000/2100/460|Корпус:св.венге; Фасад: т.венге/св.венге|Сакура с пеналом|Гостинная|Світ меблів
0967|Шкаф 2Д Ск|CM-0089|1|1000/2100/460|Корпус:св.венге; Фасад: т.венге/св.венге|Сакура с пеналом|Гостинная|Світ меблів
0968|Шкаф 3Д Ш|CM-0090|1|1200/2100/460|Корпус:св.венге; Фасад: т.венге/св.венге|Сакура с пеналом|Гостинная|Світ меблів
0969|Тумба ТВ|CM-0091|1|1200/1940/485|Корпус:св.венге; Фасад: т.венге/св.венге|Сакура с пеналом|Гостинная|Світ меблів
0970|Ниша под ТВ|CM-0092|1|1200/864/325|Корпус:св.венге; Фасад: т.венге/св.венге|Сакура с пеналом|Гостинная|Світ меблів
0971|Пенал Ск|CM-0093|1|552/2100/460|Корпус:св.венге; Фасад: т.венге/св.венге|Сакура со шкафом|Гостинная|Світ меблів
0972|Шкаф 2Д Ш Ск|CM-0094|1|1000/2100/460|Корпус:св.венге; Фасад: т.венге/св.венге|Сакура со шкафом|Гостинная|Світ меблів
0973|Шкаф 2Д Ск|CM-0095|1|1000/2100/460|Корпус:св.венге; Фасад: т.венге/св.венге|Сакура со шкафом|Гостинная|Світ меблів
0974|Шкаф 3Д Ш|CM-0096|1|1200/2100/460|Корпус:св.венге; Фасад: т.венге/св.венге|Сакура со шкафом|Гостинная|Світ меблів
0975|Тумба ТВ|CM-0097|1|1200/1940/485|Корпус:св.венге; Фасад: т.венге/св.венге|Сакура со шкафом|Гостинная|Світ меблів
0976|Ниша под ТВ|CM-0098|1|1200/864/325|Корпус:св.венге; Фасад: т.венге/св.венге|Сакура со шкафом|Гостинная|Світ меблів
0977|Надстройка|CM-0235|1|2080/1710/415, 1600/1710/415|Клен|Селина|Спальня/ Модульная система|Світ меблів
0978|Зеркало|CM-0236|1|620/860/20|Клен|Селина|Спальня/ Модульная система|Світ меблів
0979|Туалетка|CM-0237|1|1260/850/350|Клен|Селина|Спальня/ Модульная система|Світ меблів
0980|Туалетный стол|CM-0238|1|1285/770/530|Клен|Селина|Спальня/ Модульная система|Світ меблів
0981|Кровать 1-сп Ш|CM-0239|1|970/940/2095|Клен|Селина|Спальня/ Модульная система|Світ меблів
0982|Кровать 1-сп|CM-0240|1|975/770/2110|Клен|Селина|Спальня/ Модульная система|Світ меблів
0983|Кровать 2-сп|CM-0241|1|1675/810/2110|Клен|Селина|Спальня/ Модульная система|Світ меблів
0984|Витрина|CM-0242|1|1100/2090/510|Клен|Селина|Спальня/ Модульная система|Світ меблів
0985|Стул|CM-0243|1|410/395/410|Клен|Селина|Спальня/ Модульная система|Світ меблів
0986|Стол письменный|CM-0244|1|1310/740/575|Клен|Селина|Спальня/ Модульная система|Світ меблів
0987|Стол угловой|CM-0245|1|1310/740/900|Клен|Селина|Спальня/ Модульная система|Світ меблів
0988|Тумба|CM-0246|1|565/530/385|Клен|Селина|Спальня/ Модульная система|Світ меблів
0989|Комод 60|CM-0247|1|590/1060/485|Клен|Селина|Спальня/ Модульная система|Світ меблів
0990|Комод 150|CM-0248|1|1475/1055/500|Клен|Селина|Спальня/ Модульная система|Світ меблів
0991|Пенал|CM-0249|1|655/2090/430|Клен|Селина|Спальня/ Модульная система|Світ меблів
0992|Пенал Ск Ш|CM-0250|1|655/2090/510|Клен|Селина|Спальня/ Модульная система|Світ меблів
0993|Пенал Ск|CM-0251|1|655/2090/430|Клен|Селина|Спальня/ Модульная система|Світ меблів
0994|Надстройка|CM-0292|1|2080/1710/415, 1600/1710/415|Корпус: клен/ольха зеленая; Фасад: Клен/ ольха зеленая|Селина|Спальня/ Модульная система|Світ меблів
0995|Зеркало|CM-0293|1|620/860/20|Корпус: клен/ольха зеленая; Фасад: Клен/ ольха зеленая|Селина|Спальня/ Модульная система|Світ меблів
0996|Туалетка|CM-0294|1|1260/850/350|Корпус: клен/ольха зеленая; Фасад: Клен/ ольха зеленая|Селина|Спальня/ Модульная система|Світ меблів
0997|Туалетный стол|CM-0295|1|1285/770/530|Корпус: клен/ольха зеленая; Фасад: Клен/ ольха зеленая|Селина|Спальня/ Модульная система|Світ меблів
0998|Кровать 1-сп Ш|CM-0296|1|970/940/2095|Корпус: клен/ольха зеленая; Фасад: Клен/ ольха зеленая|Селина|Спальня/ Модульная система|Світ меблів
0999|Кровать 1-сп|CM-0297|1|975/770/2110|Корпус: клен/ольха зеленая; Фасад: Клен/ ольха зеленая|Селина|Спальня/ Модульная система|Світ меблів
1000|Кровать 2-сп|CM-0298|1|1675/810/2110|Корпус: клен/ольха зеленая; Фасад: Клен/ ольха зеленая|Селина|Спальня/ Модульная система|Світ меблів
1001|Витрина|CM-0299|1|1100/2090/510|Корпус: клен/ольха зеленая; Фасад: Клен/ ольха зеленая|Селина|Спальня/ Модульная система|Світ меблів
1002|Стул|CM-0300|1|410/395/410|Корпус: клен/ольха зеленая; Фасад: Клен/ ольха зеленая|Селина|Спальня/ Модульная система|Світ меблів
1003|Стол письменный|CM-0301|1|1310/740/575|Корпус: клен/ольха зеленая; Фасад: Клен/ ольха зеленая|Селина|Спальня/ Модульная система|Світ меблів
1004|Стол угловой|CM-0302|1|1310/740/900|Корпус: клен/ольха зеленая; Фасад: Клен/ ольха зеленая|Селина|Спальня/ Модульная система|Світ меблів
1005|Тумба|CM-0303|1|565/530/385|Корпус: клен/ольха зеленая; Фасад: Клен/ ольха зеленая|Селина|Спальня/ Модульная система|Світ меблів
1006|Комод 60|CM-0304|1|590/1060/485|Корпус: клен/ольха зеленая; Фасад: Клен/ ольха зеленая|Селина|Спальня/ Модульная система|Світ меблів
1007|Комод 150|CM-0305|1|1475/1055/500|Корпус: клен/ольха зеленая; Фасад: Клен/ ольха зеленая|Селина|Спальня/ Модульная система|Світ меблів
1008|Пенал|CM-0306|1|655/2090/430|Корпус: клен/ольха зеленая; Фасад: Клен/ ольха зеленая|Селина|Спальня/ Модульная система|Світ меблів
1009|Пенал Ск Ш|CM-0307|1|655/2090/510|Корпус: клен/ольха зеленая; Фасад: Клен/ ольха зеленая|Селина|Спальня/ Модульная система|Світ меблів
1010|Пенал Ск|CM-0308|1|655/2090/430|Корпус: клен/ольха зеленая; Фасад: Клен/ ольха зеленая|Селина|Спальня/ Модульная система|Світ меблів
1011|Гостинная|CM-0099|1|3680/2125/580|Орех/яблоня|Сенатор Новый 3,6 м|Гостинная|Світ меблів
1012|Гостинная|CM-0100|1|4080/2125/580|Орех/яблоня|Сенатор Новый 4,0 м|Гостинная|Світ меблів
1013|Гостинная|CM-0101|1|2850/1950/560|Ольха|Сильвия|Гостинная|Світ меблів
1014|Ниша под ТВ|CM-0102|1|1050/645/350|Ольха|Сильвия|Гостинная|Світ меблів
1015|Гостинная|CM-0103|1|3080/2140/590|Ольха/яблоня/орех|Сити|Гостинная|Світ меблів
1016|Кровать|CM-0252|1|2040/590/1700|Ольха/яблоня/орех|Соня|Спальня|Світ меблів
1017|Тумба|CM-0253|1|400/420/400|Ольха/яблоня/орех|Соня|Спальня|Світ меблів
1018|Комод|CM-0254|1|1000/700/420|Ольха/яблоня/орех|Соня|Спальня|Світ меблів
1019|Туалетка|CM-0255|1|815/1270/400|Ольха/яблоня/орех|Соня|Спальня|Світ меблів
1020|Шкаф|CM-0256|1|1700/1990/590|Ольха/яблоня/орех|Соня|Спальня|Світ меблів
1021|Шкаф|CM-0309|1|800/1825/525|Корпус: клен; Фасад: розовый/фисташка|Терри|Детская|Світ меблів
1022|Шкаф книжный|CM-0310|1|800/1825/425|Корпус: клен; Фасад: розовый/фисташка|Терри|Детская|Світ меблів
1023|Пенал 400(500)|CM-0311|1|400/1825/425(525)|Корпус: клен; Фасад: розовый/фисташка|Терри|Детская|Світ меблів
1024|Тумба ТВ|CM-0312|1|805/995/430|Корпус: клен; Фасад: розовый/фисташка|Терри|Детская|Світ меблів
1025|Тумба прикроватная|CM-0313|1|405/320/430|Корпус: клен; Фасад: розовый/фисташка|Терри|Детская|Світ меблів
1026|Комод|CM-0314|1|805/995/430|Корпус: клен; Фасад: розовый/фисташка|Терри|Детская|Світ меблів
1027|Надстройка|CM-0315|1|1200/500/310|Корпус: клен; Фасад: розовый/фисташка|Терри|Детская|Світ меблів
1028|Стол|CM-0316|1|1200/920/600|Корпус: клен; Фасад: розовый/фисташка|Терри|Детская|Світ меблів
1029|Прихожая|CM-0339|1|1700/2000/425|Корпус: ольха/орех;Фасад:ольха/лесной орех|Топаз|Прихожая|Світ меблів
1030|Гостинная|CM-0104|1|3620/2170/530|Корпус: ольха/орех;Фасад:ольха/лесной орех|Фараон|Гостинная|Світ меблів
1031|Гостинная|CM-0105|1|3620/2170/530|Корпус: яблоня; Фасад : кальвадос|Фараон глянцевый|Гостинная|Світ меблів
1032|Комод-эконом|CM-0317|1|600/900/480|Корпус: ольха; Фасад: алюминий,оранж|Феникс Оранж|Детская|Світ меблів
1033|Комод-бюджет|CM-0318|1|900/900/480|Корпус: ольха; Фасад: алюминий,оранж|Феникс Оранж|Детская|Світ меблів
1034|Пенал|CM-0319|1|450/1800/425|Корпус: ольха; Фасад: алюминий,оранж|Феникс Оранж|Детская|Світ меблів
1035|Шкаф|CM-0320|1|700/2000/625|Корпус: ольха; Фасад: алюминий,оранж|Феникс Оранж|Детская|Світ меблів
1036|Кровать 1-сп|CM-0321|1|2060/610/900|Корпус: ольха; Фасад: алюминий,оранж|Феникс Оранж|Детская|Світ меблів
1037|Стол письменный|CM-0322|1|800/1500/1520|Корпус: ольха; Фасад: алюминий,оранж|Феникс Оранж|Детская|Світ меблів
1038|ТВ|CM-0323|1|1300/1670/560|Корпус: ольха; Фасад: алюминий,оранж|Феникс Оранж|Детская|Світ меблів
1039|Комод-эконом|CM-0324|1|600/900/480|Корпус: ольха; Фасад: алюминий,оранж|Феникс синий|Детская|Світ меблів
1040|Комод-бюджет|CM-0325|1|900/900/480|Корпус: ольха; Фасад: алюминий,оранж|Феникс синий|Детская|Світ меблів
1041|Пенал|CM-0326|1|450/1800/425|Корпус: ольха; Фасад: алюминий,оранж|Феникс синий|Детская|Світ меблів
1042|Шкаф|CM-0327|1|700/2000/625|Корпус: ольха; Фасад: алюминий,оранж|Феникс синий|Детская|Світ меблів
1043|Кровать 1-сп|CM-0328|1|2060/610/900|Корпус: ольха; Фасад: алюминий,оранж|Феникс синий|Детская|Світ меблів
1044|Стол письменный|CM-0329|1|800/1500/1520|Корпус: ольха; Фасад: алюминий,оранж|Феникс синий|Детская|Світ меблів
1045|ТВ|CM-0330|1|1300/1670/560|Корпус: ольха; Фасад: алюминий,оранж|Феникс синий|Детская|Світ меблів
1046|Шкаф |CM-0257|1|1875/2240/640|Корпус: каштан/св.венге; Фасад: каштан лак/св.венге лак|Флоренция|Спальня|Світ меблів
1047|Тумбочка|CM-0258|1|456/605/356|Корпус: каштан; Фасад: каштан лак|Флоренция|Спальня|Світ меблів
1048|Подзеркальник|CM-0259|1|850/700/20|Корпус: каштан; Фасад: каштан лак|Флоренция|Спальня|Світ меблів
1049|Кровать 2-сп|CM-0260|1|1850/920/2085|Корпус: каштан; Фасад: каштан лак|Флоренция|Спальня|Світ меблів
1050|Комод|CM-0261|1|896/860/430|Корпус: каштан; Фасад: каштан лак|Флоренция|Спальня|Світ меблів
1051|Буфет |CM-0005|1|1700/2235/585|Орех,клен|Цезарь|Гостинная|Світ меблів
1052|Кровать|CM-0262|1|2100/1120/1840|Корпус: клен/старый дуб; Фасад: перламутр/страый дуб|Эмилия|Спальня|Світ меблів
1053|Шкаф|CM-0263|1|2210/2340/610|Корпус: клен/старый дуб; Фасад: перламутр/страый дуб|Эмилия|Спальня|Світ меблів
1054|Комод|CM-0264|1|1090/900/470|Корпус: клен/старый дуб; Фасад: перламутр/страый дуб|Эмилия|Спальня|Світ меблів
1055|Туалетка|CM-0265|1|1235/800/440|Корпус: клен/старый дуб; Фасад: перламутр/страый дуб|Эмилия|Спальня|Світ меблів
1056|Тумбочка|CM-0266|1|535/660/440|Корпус: клен/старый дуб; Фасад: перламутр/страый дуб|Эмилия|Спальня|Світ меблів
1057|Зеркало|CM-0267|1|840/940/120|Корпус: клен/старый дуб; Фасад: перламутр/страый дуб|Эмилия|Спальня|Світ меблів
1058|Детская|CM-0331|1|3000/2050/520|Ольха/яблоня/орех|Юниор|Детская|Світ меблів
1059|Детская|CM-0332|1|3000/2050/521|Корпус:ольха; Фасад: зеленый/бирюза/синий/терра синяя/терра зеленая|Юниор СОФТ|Детская|Світ меблів
1060|Прихожая 1м|CM-0340|1|1085/2370/560|Корпус: ольха/орех;Фасад:ольха/лесной орех|Юпитер|Прихожая|Світ меблів
1061|Прихожая 1,5м|CM-0341|1|1580/2380/560|Корпус: ольха/орех;Фасад:ольха/лесной орех|Юпитер|Прихожая|Світ меблів
1062|Прихожая 2м|CM-0342|1|2065/2370/560|Корпус: ольха/орех;Фасад:ольха/лесной орех|Юпитер|Прихожая|Світ меблів
1063|Ниша под ТВ|CM-0004|1|1310/670/510|темный венге/яблоня светлая||Гостинная|Світ меблів
1064|Комод 870|CM-0270|1|870/880/410|Ольха/яблоня/орех||Детская|Світ меблів
1065|Кровать 2-сп|CM-0271|1|2030/590/1700|Ольха/яблоня/орех||Детская|Світ меблів
1066|Кровать 1-сп|CM-0272|1|2030/590/850|Ольха/яблоня/орех||Детская|Світ меблів
1067|Вешалка|COK-0001|1|350/1970/350|Корпус ДСП: т.венге/св.венге;ФасадДСП: св.венге|Толедо плюс|Прихожая|Сокме
1068|Вешалка 550|COK-0002|1|505/2032/370|корпус ДСП: светлый орех; Рамочный фасад:итальянский орех|Модена|Модульная система|Сокме
1069|Вешалка доска|COK-0003|1|700/1200/_|Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех|Дебют|Модульная система|Сокме
1070|Вешалка комбинированная с тумбой для обуви|COK-0004|1|900/1939/400|Корпус,фасад ДСП:темный венге,св.венге/яблоня,св.яблоня|Феерия|Прихожая|Сокме
1071|Гостинная 1|COK-0005|1|3150/_/_|Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех|Дебют|Модульная система|Сокме
1072|Гостинная 2|COK-0006|1|3350/_/_|Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех|Дебют|Модульная система|Сокме
1073|Гостинная 3|COK-0007|1|3600/_/_|Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех|Дебют|Модульная система|Сокме
1074|Гостинная 4|COK-0008|1|3215/_/_|Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех|Дебют|Модульная система|Сокме
1075|Гостинная 5|COK-0009|1|3200/_/_|Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех|Дебют|Модульная система|Сокме
1076|Детская|COK-0010|1|2700/_/_|Корпус ДСП:светлый орех, Фасад МДФ:св.яблоня, св.орех|Дебют|Модульная система|Сокме
1077|Зеркало|COK-0011|1|700*700|Корпус,фасад ДСП:темный венге,св.венге/яблоня,св.яблоня|Конго|Прихожая|Сокме
1078|Зеркало 1000|COK-0012|1|1000/820/136|Корпус ДСП:тёмный орех;Фасад ДСП:дуб родос светлый|Дуэт|Прихожая|Сокме
